Total time to read binary file: 2.107804s 

Total time to find solution with A_star: 9.438836s 

Node id:819190280 	 | Distance:87673.169453
Node id:819190457 	 | Distance:87679.660394
Node id:819190474 	 | Distance:87684.818519
Node id:819190406 	 | Distance:87697.254507
Node id:891619038 	 | Distance:87718.099063
Node id:819190392 	 | Distance:87745.636710
Node id:819190459 	 | Distance:87775.349208
Node id:819190364 	 | Distance:87846.509556
Node id:819190346 	 | Distance:87911.540199
Node id:819190350 	 | Distance:87997.721580
Node id:819190437 	 | Distance:88050.611816
Node id:819190412 	 | Distance:88104.819725
Node id:819190361 	 | Distance:88165.379091
Node id:819190264 	 | Distance:88186.242720
Node id:819190484 	 | Distance:88220.655623
Node id:333363327 	 | Distance:88232.427573
Node id:819190447 	 | Distance:88259.582938
Node id:333363326 	 | Distance:88329.767098
Node id:332308109 	 | Distance:88342.622036
Node id:332308214 	 | Distance:88412.315991
Node id:819542805 	 | Distance:88427.468106
Node id:819543012 	 | Distance:88450.472704
Node id:819190464 	 | Distance:88513.112713
Node id:1042837024 	 | Distance:88539.842863
Node id:1042837210 	 | Distance:88592.249523
Node id:332308681 	 | Distance:88616.244065
Node id:332308682 	 | Distance:88656.578475
Node id:1042836424 	 | Distance:88679.095432
Node id:367091845 	 | Distance:88690.088544
Node id:1002484432 	 | Distance:88738.395747
Node id:332127854 	 | Distance:89099.125298
Node id:408184949 	 | Distance:89103.309574
Node id:408184948 	 | Distance:89261.086015
Node id:332127855 	 | Distance:89266.720785
Node id:333295739 	 | Distance:89284.243518
Node id:332127473 	 | Distance:89307.266395
Node id:963264759 	 | Distance:89309.695689
Node id:963264679 	 | Distance:89313.435192
Node id:332127355 	 | Distance:89317.038922
Node id:963264313 	 | Distance:89321.989008
Node id:332127356 	 | Distance:89326.053767
Node id:963264774 	 | Distance:89328.784518
Node id:963264375 	 | Distance:89333.804062
Node id:332127357 	 | Distance:89338.053733
Node id:963264023 	 | Distance:89342.215866
Node id:963264436 	 | Distance:89345.730482
Node id:332127347 	 | Distance:89349.496173
Node id:963264803 	 | Distance:89351.353251
Node id:963264393 	 | Distance:89354.532673
Node id:963264040 	 | Distance:89358.567294
Node id:332127469 	 | Distance:89362.735128
Node id:963264452 	 | Distance:89365.551165
Node id:963264118 	 | Distance:89370.110187
Node id:963264332 	 | Distance:89378.498368
Node id:963264702 	 | Distance:89387.755859
Node id:963264069 	 | Distance:89399.067290
Node id:963264422 	 | Distance:89408.465252
Node id:963264009 	 | Distance:89419.675226
Node id:963264359 	 | Distance:89470.795161
Node id:963264742 	 | Distance:89511.856764
Node id:963264646 	 | Distance:89524.853576
Node id:408184939 	 | Distance:89532.141542
Node id:826246112 	 | Distance:89536.104716
Node id:408184940 	 | Distance:89538.817276
Node id:826246117 	 | Distance:89541.503885
Node id:408184941 	 | Distance:89544.423643
Node id:826246124 	 | Distance:89546.551561
Node id:408184942 	 | Distance:89549.583584
Node id:826246130 	 | Distance:89552.294248
Node id:276794471 	 | Distance:89554.867931
Node id:1000894987 	 | Distance:89577.409765
Node id:1000894757 	 | Distance:89729.864399
Node id:408184934 	 | Distance:89880.162744
Node id:333348964 	 | Distance:89975.441816
Node id:1000894676 	 | Distance:90070.403867
Node id:1000895145 	 | Distance:90077.666643
Node id:1000895252 	 | Distance:90112.418393
Node id:411830339 	 | Distance:90134.641177
Node id:1000895523 	 | Distance:90153.019021
Node id:999438016 	 | Distance:90183.473103
Node id:1000894772 	 | Distance:90231.910839
Node id:1000894774 	 | Distance:90262.438785
Node id:1000894632 	 | Distance:90309.437669
Node id:1000895486 	 | Distance:90321.889227
Node id:1000894521 	 | Distance:90330.527724
Node id:333299541 	 | Distance:90406.426165
Node id:408184914 	 | Distance:90446.855196
Node id:408184921 	 | Distance:90490.665252
Node id:408184930 	 | Distance:90510.505108
Node id:915389454 	 | Distance:90651.145255
Node id:915552054 	 | Distance:90712.484552
Node id:915552057 	 | Distance:90805.531633
Node id:1031598819 	 | Distance:90844.297021
Node id:1014860918 	 | Distance:90881.637886
Node id:1029886904 	 | Distance:91025.945909
Node id:915389448 	 | Distance:91045.212656
Node id:1029886629 	 | Distance:91067.953578
Node id:1029886681 	 | Distance:91157.618812
Node id:1029886617 	 | Distance:91196.663075
Node id:1029931428 	 | Distance:91204.885184
Node id:1029931593 	 | Distance:91230.741210
Node id:1029931567 	 | Distance:91303.397740
Node id:918165032 	 | Distance:91357.026503
Node id:997681199 	 | Distance:91369.737354
Node id:997681655 	 | Distance:91385.728363
Node id:997681465 	 | Distance:91394.870120
Node id:918165062 	 | Distance:91403.939434
Node id:996609249 	 | Distance:91409.726284
Node id:996609475 	 | Distance:91417.749536
Node id:918165030 	 | Distance:91422.391276
Node id:996609434 	 | Distance:91426.448920
Node id:996609556 	 | Distance:91434.392158
Node id:918165039 	 | Distance:91440.202875
Node id:918165056 	 | Distance:91474.224729
Node id:996608976 	 | Distance:91494.651500
Node id:1419321359 	 | Distance:91597.548409
Node id:251718035 	 | Distance:92192.273199
Node id:276790396 	 | Distance:92724.759410
Node id:529091963 	 | Distance:92766.717510
Node id:529091964 	 | Distance:92780.657686
Node id:529091957 	 | Distance:92799.163189
Node id:529091958 	 | Distance:92812.556185
Node id:276790392 	 | Distance:92856.822511
Node id:919768920 	 | Distance:93570.526373
Node id:276791878 	 | Distance:94663.844286
Node id:529091944 	 | Distance:94836.145857
Node id:276794552 	 | Distance:94957.600652
Node id:276792047 	 | Distance:95342.333750
Node id:276790391 	 | Distance:95792.462877
Node id:276790890 	 | Distance:95833.095017
Node id:276790889 	 | Distance:95855.466639
Node id:276790899 	 | Distance:95872.389269
Node id:276790898 	 | Distance:95896.133608
Node id:276790897 	 | Distance:95916.147665
Node id:276790896 	 | Distance:95929.866418
Node id:529091839 	 | Distance:95947.156737
Node id:529091840 	 | Distance:95992.829879
Node id:529091835 	 | Distance:96017.859721
Node id:529091833 	 | Distance:96037.151709
Node id:529091820 	 | Distance:96053.391450
Node id:529091821 	 | Distance:96071.751778
Node id:529091826 	 | Distance:96091.220035
Node id:529091823 	 | Distance:96111.966708
Node id:529091822 	 | Distance:96179.888215
Node id:529091824 	 | Distance:96218.170555
Node id:529091817 	 | Distance:96258.299237
Node id:529091816 	 | Distance:96384.448915
Node id:529091779 	 | Distance:96415.277737
Node id:529091780 	 | Distance:96445.974472
Node id:529091781 	 | Distance:96474.532047
Node id:529091782 	 | Distance:96503.591802
Node id:529091786 	 | Distance:96530.300033
Node id:529091785 	 | Distance:96538.853366
Node id:529091795 	 | Distance:96547.545594
Node id:529091790 	 | Distance:96555.981211
Node id:529091793 	 | Distance:96564.274507
Node id:529091792 	 | Distance:96575.800345
Node id:529091729 	 | Distance:96586.855081
Node id:529091728 	 | Distance:96599.918078
Node id:529091724 	 | Distance:96727.110590
Node id:529686082 	 | Distance:96825.173048
Node id:529091706 	 | Distance:96890.326135
Node id:529091714 	 | Distance:96962.975891
Node id:529091711 	 | Distance:97013.305798
Node id:529091710 	 | Distance:97031.809078
Node id:529091709 	 | Distance:97043.948328
Node id:529686059 	 | Distance:97066.569222
Node id:529091708 	 | Distance:97095.791655
Node id:529091631 	 | Distance:97147.711642
Node id:529091634 	 | Distance:97166.032292
Node id:529091633 	 | Distance:97178.375040
Node id:529091632 	 | Distance:97187.699608
Node id:529091639 	 | Distance:97192.770394
Node id:529091615 	 | Distance:97213.939544
Node id:529414520 	 | Distance:97251.240668
Node id:529414500 	 | Distance:97418.031293
Node id:529414505 	 | Distance:97436.229360
Node id:529414501 	 | Distance:97445.227904
Node id:529414492 	 | Distance:97472.927191
Node id:529414491 	 | Distance:97527.613643
Node id:529414323 	 | Distance:97664.526578
Node id:529414325 	 | Distance:97671.217289
Node id:529091372 	 | Distance:97685.522958
Node id:529091371 	 | Distance:97714.218798
Node id:529091370 	 | Distance:97739.441729
Node id:529414320 	 | Distance:97772.438558
Node id:529091373 	 | Distance:97793.822571
Node id:529091369 	 | Distance:97809.754788
Node id:529091351 	 | Distance:97823.875652
Node id:529091356 	 | Distance:97838.846295
Node id:529091352 	 | Distance:97853.702790
Node id:529091336 	 | Distance:98127.944118
Node id:529091350 	 | Distance:98155.684342
Node id:529091346 	 | Distance:98272.690382
Node id:529091345 	 | Distance:98309.430696
Node id:529091212 	 | Distance:98374.225104
Node id:529091214 	 | Distance:98400.979661
Node id:529091215 	 | Distance:98477.263223
Node id:529091191 	 | Distance:98528.408571
Node id:394702924 	 | Distance:98596.367042
Node id:394702926 	 | Distance:98691.076839
Node id:394702928 	 | Distance:98791.713244
Node id:394702930 	 | Distance:98907.548479
Node id:1502877698 	 | Distance:98918.975893
Node id:411504115 	 | Distance:98935.423774
Node id:529091088 	 | Distance:98948.175128
Node id:529091089 	 | Distance:98965.057101
Node id:477614668 	 | Distance:98979.674841
Node id:1502877703 	 | Distance:98988.455289
Node id:411504139 	 | Distance:99000.387208
Node id:1502877702 	 | Distance:99012.071313
Node id:411504256 	 | Distance:99025.162335
